n,tier,category,service,what,setup,recurring,tier1_price,market_low,market_high,market_source,build_effort,fit,demand,revenue_potential,edge,repos,url_doc
1,1,Audit & Strategy,AI Readiness Audit,"1-week diagnostic: workflow mapping, AI opportunity matrix (30-50 candidate automations), ROI model, 30-day roadmap","$500-2,000",—,"Paid tier $500-2,000","$5,000","$15,000",Neurons Lab 'Executive AI Workshop' / Markovate Discovery Phase,Low,5,5,$10-50K/mo,"Paraguay-first language, free tier for lead-gen",marketing-strategy/AI-Whisperers-Marketing-Hub/,Company/services/README.md#1-ai-readiness-audit
2,1,Customer Engagement,WhatsApp AI Agent (Paraguay-first),"Lead capture, FAQ, appointment booking, order-taking, multi-language. Built on our infra (not BotPenguin)","$1,000-3,000","$300-1,000/mo","$1-3K setup + $300-1,000/mo",$200/mo platform,"$2,000/mo platform + $10K setup","BotPenguin, Gallabox, Kommunicate",Medium (4-6 wks MVP),5,5,$30-100K MRR,"Paraguay-Spanish-first, 28 existing client sites as distribution","paragu-ai-builder, MCP servers, evolution_ stack (VPS)",Company/services/README.md#2-whatsapp-ai-agent-paraguay-first
3,1,AI Agents,AI Agent for Sales,"Lead scoring, CRM auto-update, personalized outreach, deal forecasting. Integrates with HubSpot/Pipedrive/Notion","$5,000-25,000","$500-2,000/mo",$5-25K setup + $500-2K/mo,"$5,000","$30,000","LeewayHertz, Master of Code, Intuz",Medium,4,5,Medium-high,ParaguAI Builder already has CRM integrations wired,"paragu-ai-builder, agentic-schemas",Company/services/README.md#3-ai-agent-for-sales
4,1,AI Agents,AI Agent for Customer Service,"24/7 support, ticket routing, FAQ, escalation. Multi-channel (WhatsApp + web + Instagram)","$5,000-30,000","$500-3,000/mo",$5-30K setup + $500-3K/mo,"$5,000","$30,000","Every Tier 2 competitor (Master of Code, Intuz, Neurons Lab)",Medium,5,5,High,"Multi-tenant infra to deploy fast, multi-language (es/en/nl/pt)","paragu-ai-builder, evolution_ (VPS)",Company/services/README.md#4-ai-agent-for-customer-service
5,1,Automation,AI Workflow Automation (n8n-based),"Internal process automation: invoice processing, lead routing, data entry, report generation","$2,000-10,000",$200-500/mo,$2-10K per automation + $200-500/mo,"$2,000","$15,000","Intuz, Azilen, Neoteric",Low (per-automation),4,4,Medium,n8n expertise + Paraguay rate advantage ($50/hr vs US $150/hr),n8n-data volume (VPS in production),Company/services/README.md#5-ai-workflow-automation-n8n-based
6,1,AI Agents,RAG Knowledge Base for Company Docs,"Internal AI that answers questions from company documents (PDFs, Notion, Google Drive). 4-6 week build","$5,000-15,000","$200-1,000/mo",$5-15K setup + $200-1K/mo,"$5,000","$30,000","LeewayHertz 'Document Intelligence', Master of Code 'knowledge assistants'",Low-Medium (templated),4,4,Medium-high,"agentic-schemas Pattern 13 (RAG) is well-documented, ready to deploy","agentic-schemas, lightrag_data volume (VPS)",Company/services/README.md#6-rag-knowledge-base-for-company-docs
7,1,Training,AI Training Workshops (corporate),2-day to 2-week workshops. Claude/Cursor/Copilot/Gemini for specific departments. On-site or virtual,"$200-2,000/student or $5-30K/company",—,"$500-2,500/student or $5-30K/company",$200/student,"$2,000/student","DeepLearning.AI corporate, Anthropic Academy",Zero (content already exists),5,5,$20-50K/mo,"Existing FPUNA content (proven curriculum), Spanish-first, 4-language delivery","Courses-Content, Summer-courses, education-hooks, courses-website",Company/services/README.md#7-ai-training-workshops-corporate
8,1,Web & SaaS,AI-Powered Website (SMB),"Marketing website with AI features: chatbot, lead scoring, content gen, SEO automation, WhatsApp CTA","$500-5,000",$20-50/mo hosting,"$500-5,000 build + $20-50/mo","$1,000","$10,000",Standard web agency rate,Very low (template-driven),5,5,High,paragu-ai-builder is purpose-built for this; 28 live client sites prove the model,"paragu-ai-builder, site-template, Vete",Company/services/README.md#8-ai-powered-website-smb
9,1,Web & SaaS,Multi-Tenant SaaS for Vertical,"Vete-style platform: vet, gym, salon, restaurant, etc. Each tenant is a config, not code","$5,000-50,000",$50-500/mo per tenant,$5-50K + $50-500/mo/tenant,"$10,000","$100,000",Custom SaaS standard rate,Low per new vertical (mostly content),5,4,High,"Proven platform (Vete has 6 tenants, paragu-ai-builder has 5+)","paragu-ai-builder, Vete",Company/services/README.md#9-multi-tenant-saas-for-vertical
10,1,AI Agents,AI Integration Sprint (2 weeks),"Take existing software (ERP, CRM, ITSM) and embed AI capabilities. Fixed scope, fixed price","$5,000-20,000",—,$5-20K fixed,"$5,000","$25,000","LeewayHertz, InData Labs, Neontri",Low per integration,4,4,Medium-high,"MCP server expertise (rare), fast turnaround","mcp-for-deploys, agentic-schemas",Company/services/README.md#10-ai-integration-sprint-2-weeks
11,1,3D & Satellite,3D Photorealistic Render (satellite → Blender),"Real-estate, architecture, tourism, foundation planning. One AOI per project, 0.6 m/px resolution","$500-10,000/render",—,"$500-10,000 per render","$1,000","$10,000","D5 Render, Twinmotion shops",Zero (pipeline exists),5,4,Very high,"No competitor offers this. Free public data, headless Cycles on lean VPS","site-data-acquisition, geospatial-site-to-3d-pipeline, satellite-to-blender-pipeline, blender-mcp (skills)",Company/services/README.md#11-3d-photorealistic-render-satellite--blender
12,2,AI Agents,AI Agent for HR,"Resume screening, interview scheduling, onboarding, employee Q&A bot","$5,000-15,000","$300-1,000/mo",$5-15K setup + $300-1K/mo,"$5,000","$15,000","Master of Code HR modules, Intuz",Medium,4,4,Medium,agentic-schemas patterns ready,agentic-schemas,Company/services/README.md#12-ai-agent-for-hr
13,2,AI Agents,AI Agent for Finance,"Invoice OCR, expense categorization, anomaly detection, financial reporting","$5,000-25,000","$500-2,000/mo",$5-25K setup + $500-2K/mo,"$5,000","$30,000","Intuz, LeewayHertz, BairesDev",Medium,4,4,Medium,Open-source OCR stack + agentic-schemas,agentic-schemas,Company/services/README.md#13-ai-agent-for-finance
14,2,AI Agents,AI Agent for DevOps/AIOps,"Log analysis, alert correlation, incident response, runbook automation","$10,000-50,000",—,$10-50K,"$10,000","$100,000","IBM AIOps case study, Intuz",High,3,4,Medium,Loki + Grafana + Prometheus stack live in our infra,"Loki, Promtail, Grafana, node-exporter (VPS)",Company/services/README.md#14-ai-agent-for-devopsaiops
15,2,Data,Predictive Analytics Dashboard,"Real-time dashboards with forecasting, anomaly detection. Built on Supabase + custom AI","$5,000-20,000",—,$5-20K,"$5,000","$30,000","InData Labs, Azilen, Neoteric",Medium,4,4,Medium,Postgres + Grafana + Supabase already wired,"postgres, monitor_grafana (VPS)",Company/services/README.md#15-predictive-analytics-dashboard
16,2,AI Agents,Recommendation Engine,"E-commerce product recs, content recs, 'people also bought' — all verticals","$5,000-20,000",—,$5-20K,"$5,000","$25,000","Neoteric, Intuz, Geniusee",Medium,4,3,Medium,Multi-tenant infra makes A/B testing easy,"paragu-ai-builder, agentic-schemas",Company/services/README.md#16-recommendation-engine
17,2,Automation,Document Processing Automation,"OCR + extraction + classification. For legal, insurance, healthcare, accounting","$5,000-15,000",—,$5-15K per process,"$5,000","$20,000","Markovate (document-heavy), InData Labs",Medium,4,3,Medium,MCP server for legacy doc systems,"agentic-schemas, mcp-for-deploys",Company/services/README.md#17-document-processing-automation
18,2,Content,AI Content Generation Pipeline,Multi-locale content (es/en/nl/pt) for SEO at scale. We already do this for our own sites,"$500-2,000/mo","$500-2,000/mo","$500-2,000/month per client",$500/mo,"$3,000/mo","Appinventiv, Maruti Techlabs",Zero (skill exists),5,4,High,4-language production stack already proven on our own sites,"paragu-ai-builder, copy-bot profile",Company/services/README.md#18-ai-content-generation-pipeline
19,2,Content,AI Video Generation Service,"Marketing videos, product demos, training content via AI tools","$500-5,000/video",—,"$500-5,000/video",$500,"$5,000","Synthesia, HeyGen via agency",Low,4,3,Medium-high,Tony-bot profile + HyperFrames pipeline,"tony-bot, hyperframes",Company/services/README.md#19-ai-video-generation-service
20,2,AI Agents,AI Agent for E-commerce,"Personalized shopping assistant, dynamic pricing, inventory prediction","$5,000-25,000","$500-2,000/mo",$5-25K + $500-2K/mo,"$5,000","$30,000","Master of Code (e-commerce), Intuz",Medium,4,4,Medium-high,42 live e-commerce/lead-gen sites as proof,"paragu-ai-builder, Vete, e-commerce client sites (VPS)",Company/services/README.md#20-ai-agent-for-e-commerce
21,2,AI Agents,Voice AI Agent (Inbound/Outbound),"Phone call automation, voice bots, IVR replacement","$5,000-30,000","$500-3,000/mo",$5-30K + $500-3K/mo,"$5,000","$30,000","Bland.ai, Vapi.ai via agency",Medium,4,3,Medium,Multi-tenant infra to deploy fast,"paragu-ai-builder, agentic-schemas",Company/services/README.md#21-voice-ai-agent-inboundoutbound
22,2,AI Agents,Custom MCP Server,"Connect AI to any tool: CRM, ERP, internal API, hardware. Telescope-AI is proof","$3,000-15,000/server",—,$3-15K per server,"$3,000","$20,000",Anthropic / OpenAI MCP ecosystem (rare as a service),Low-Medium,5,3,High,Rare capability. Telescope-AI proves the pattern (hardware integration),"telescope-ai, mcp-for-deploys",Company/services/README.md#22-custom-mcp-server
23,3,AI Agents,AI Cybersecurity Agent,"Darktrace-style threat detection, automated response, compliance monitoring","$10,000-100,000",—,$10-100K,"$10,000","$200,000","Darktrace-style (Creole case study), SOC automation",High,3,3,Medium,TBD (not core competency yet),—,Company/services/README.md#23-ai-cybersecurity-agent
24,3,AI Agents,Custom Computer Vision,"Object detection, OCR, visual inspection, medical imaging","$10,000-50,000",—,$10-50K,"$10,000","$150,000","Azilen, EffectiveSoft, Master of Code",High,3,3,Medium,Has the Python CV stack + GPU via VPS,"telescope-ai (plate solving = CV), 3-adic-ml (research)",Company/services/README.md#24-custom-computer-vision
25,3,AI Agents,Fine-Tuning Service,"Custom LLM fine-tuning for domain-specific tasks (legal, medical, etc.)","$10,000-50,000",—,$10-50K,"$10,000","$100,000","LeewayHertz, InData Labs, Neurons Lab",Medium,3,3,Medium,LiteLLM proxy in our stack (multi-model routing),"litellm_litellm-redis-data volume (VPS), langfuse (observability)",Company/services/README.md#25-fine-tuning-service
26,3,Audit & Strategy,AI Procurement / Vendor Selection,Help companies pick the right AI tools from the 100+ available,"$2,000-10,000",—,$2-10K engagement,"$2,000","$15,000",Gartner / Forrester via partner,Low (we know the market),5,3,High (low cost),20-competitor analysis + market research is our differentiator,Company/competitors/README.md (in this repo),Company/services/README.md#26-ai-procurement--vendor-selection
27,3,Data,Data Engineering / ETL Pipelines,"Multi-source data integration, warehouses, real-time pipelines","$5,000-30,000",—,$5-30K,"$5,000","$50,000","InData Labs, Neontri, Geniusee",Medium,4,3,Medium,"paraguay-supermercados is the proof (5 chains, 50K+ products)","paraguay-supermercados, postgres",Company/services/README.md#27-data-engineering--etl-pipelines
28,3,Audit & Strategy,AI Compliance / Governance Consulting,"EU AI Act, Paraguay data law, HIPAA, SOC2 prep","$5,000-20,000",—,$5-20K,"$5,000","$50,000","GAO report findings, EU AI Act consulting",High (specialty),4,3,Medium,TBD (need to upskill),—,Company/services/README.md#28-ai-compliance--governance-consulting
